xlssc,RA,Dec,z [N_z],Source,R_{spec},F_{14}^{[0.5-2],F_{14}^{[0.5-2] error  (\pm),T_X,T_X  error \m,T_X  error \P,R_{500},L_{500}^{bol},L(Bol) 44,L_{500}^{bol} error \pm,L_{500}^{[0.5-2]},L(0.5-2) 44,L_{500}^{[0.5-2]} error \pm,L_corrected,M_{500} (M1),M_{500} (M2),,ref,,
,,,,,,,,,,,,,,,,,,,,,,,3.24,0.612140462
,,,,,,,,,,,,,,,,,,,,,,,3.25,0.612170786
,,,,,,,,,,,,,,,,,,,,,,,3.26,0.612202152
,,,,,,,,,,,,,,,,,,,,,,,3.27,0.612232499
,,,,,,,,,,,,,,,,,,,,,,,3.28,0.612263889
,,,,,,,,,,,,,,,,,,,,,,,3.29,0.612294259
,,,,,,,,,,,,,,,,,,,,,,,3.3,0.612325672
,,,,,,,,,,,,,,,,,,,,,,,3.31,0.612356697
,,,,,,,,,,,,,,,,,,,,,,,3.32,0.612388134
,,,,,,,,,,,,,,,,,,,,,,,3.33,0.61241855
,,,,,,,,,,,,,,,,,,,,,,,3.34,0.612450011
,,,,,,,,,,,,,,,,,,,,,,,3.35,0.61248045
,,,,,,,,,,,,,,,,,,,,,,,3.36,0.612511934
,,,,,,,,,,,,,,,,,,,,,,,3.37,0.612542396
,,,,,,,,,,,,,,,,,,,,,,,3.38,0.612573903
,,,,,,,,,,,,,,,,,,,,,,,3.39,0.612604389
,,,,,,,,,,,,,,,,,,,,,,,3.4,0.612636553
,,,,,,,,,,,,,,,,,,,,,,,3.41,0.612667062
,,,,,,,,,,,,,,,,,,,,,,,3.42,0.612698616
,,,,,,,,,,,,,,,,,,,,,,,3.43,0.612729148
,,,,,,,,,,,,,,,,,,,,,,,3.44,0.61275568
,,,,,,,,,,,,,,,,,,,,,,,3.45,0.612781422
,,,,,,,,,,,,,,,,,,,,,,,3.46,0.612807176
,,,,,,,,,,,,,,,,,,,,,,,3.47,0.612832942
,,,,,,,,,,,,,,,,,,,,,,,3.48,0.61285872
,,,,,,,,,,,,,,,,,,,,,,,3.49,0.61288451
,,,,,,,,,,,,,,,,,,,,,,,3.5,0.612910313
,,,,,,,,,,,,,,,,,,,,,,,3.51,0.612936127
,,,,,,,,,,,,,,,,,,,,,,,3.52,0.612961953
,,,,,,,,,,,,,,,,,,,,,,,3.53,0.612988427
,,,,,,,,,,,,,,,,,,,,,,,3.54,0.613014278
,,,,,,,,,,,,,,,,,,,,,,,3.55,0.61304014
,,,,,,,,,,,,,,,,,,,,,,,3.56,0.613067053
,,,,,,,,,,,,,,,,,,,,,,,3.57,0.61309294
,,,,,,,,,,,,,,,,,,,,,,,3.58,0.613118839
,,,,,,,,,,,,,,,,,,,,,,,3.59,0.61314475
,,,,,,,,,,,,,,,,,,,,,,,3.6,0.613170673
,,,,,,,,,,,,,,,,,,,,,,,3.61,0.613196609
,,,,,,,,,,,,,,,,,,,,,,,3.62,0.613222556
,,,,,,,,,,,,,,,,,,,,,,,3.63,0.613248516
,,,,,,,,,,,,,,,,,,,,,,,3.64,0.613274488
,,,,,,,,,,,,,,,,,,,,,,,3.65,0.613300472
,,,,,,,,,,,,,,,,,,,,,,,3.66,0.613326468
,,,,,,,,,,,,,,,,,,,,,,,3.67,0.613353115
,,,,,,,,,,,,,,,,,,,,,,,3.68,0.613379136
,,,,,,,,,,,,,,,,,,,,,,,3.69,0.613405168
,,,,,,,,,,,,,,,,,,,,,,,3.7,0.613432255
,,,,,,,,,,,,,,,,,,,,,,,3.71,0.613458312
,,,,,,,,,,,,,,,,,,,,,,,3.72,0.613484382
,,,,,,,,,,,,,,,,,,,,,,,3.73,0.613510464
,,,,,,,,,,,,,,,,,,,,,,,3.74,0.613536558
,,,,,,,,,,,,,,,,,,,,,,,3.75,0.613562665
,,,,,,,,,,,,,,,,,,,,,,,3.76,0.613588783
,,,,,,,,,,,,,,,,,,,,,,,3.77,0.613614914
,,,,,,,,,,,,,,,,,,,,,,,3.78,0.613641058
,,,,,,,,,,,,,,,,,,,,,,,3.79,0.613667213
,,,,,,,,,,,,,,,,,,,,,,,3.8,0.613694021
,,,,,,,,,,,,,,,,,,,,,,,3.81,0.613720201
,,,,,,,,,,,,,,,,,,,,,,,3.82,0.613746394
,,,,,,,,,,,,,,,,,,,,,,,3.83,0.613773643
,,,,,,,,,,,,,,,,,,,,,,,3.84,0.613799861
,,,,,,,,,,,,,,,,,,,,,,,3.85,0.61382609
,,,,,,,,,,,,,,,,,,,,,,,3.86,0.613852332
,,,,,,,,,,,,,,,,,,,,,,,3.87,0.613878587
,,,,,,,,,,,,,,,,,,,,,,,3.88,0.613904854
,,,,,,,,,,,,,,,,,,,,,,,3.89,0.613931133
,,,,,,,,,,,,,,,,,,,,,,,3.9,0.613957424
,,,,,,,,,,,,,,,,,,,,,,,3.91,0.613983728
,,,,,,,,,,,,,,,,,,,,,,,3.92,0.614010045
,,,,,,,,,,,,,,,,,,,,,,,3.93,0.614036373
,,,,,,,,,,,,,,,,,,,,,,,3.94,0.614063357
,,,,,,,,,,,,,,,,,,,,,,,3.95,0.614089711
,,,,,,,,,,,,,,,,,,,,,,,3.96,0.614117125
,,,,,,,,,,,,,,,,,,,,,,,3.97,0.614143503
,,,,,,,,,,,,,,,,,,,,,,,3.98,0.614169895
,,,,,,,,,,,,,,,,,,,,,,,3.99,0.614196298
,,,,,,,,,,,,,,,,,,,,,,,4,0.614222714
,,,,,,,,,,,,,,,,,,,,,,,4.01,0.614249143
,,,,,,,,,,,,,,,,,,,,,,,4.02,0.614275584
,,,,,,,,,,,,,,,,,,,,,,,4.03,0.614302038
,,,,,,,,,,,,,,,,,,,,,,,4.04,0.614328504
,,,,,,,,,,,,,,,,,,,,,,,4.05,0.614354982
,,,,,,,,,,,,,,,,,,,,,,,4.06,0.614381473
,,,,,,,,,,,,,,,,,,,,,,,4.07,0.614407977
,,,,,,,,,,,,,,,,,,,,,,,4.08,0.614435138
,,,,,,,,,,,,,,,,,,,,,,,4.09,0.614462718
,,,,,,,,,,,,,,,,,,,,,,,4.1,0.614489259
,,,,,,,,,,,,,,,,,,,,,,,4.11,0.614515814
,,,,,,,,,,,,,,,,,,,,,,,4.12,0.61454238
,,,,,,,,,,,,,,,,,,,,,,,4.13,0.61456896
,,,,,,,,,,,,,,,,,,,,,,,4.14,0.614595552
,,,,,,,,,,,,,,,,,,,,,,,4.15,0.614622156
,,,,,,,,,,,,,,,,,,,,,,,4.16,0.614648773
,,,,,,,,,,,,,,,,,,,,,,,4.17,0.614675403
,,,,,,,,,,,,,,,,,,,,,,,4.18,0.614702045
,,,,,,,,,,,,,,,,,,,,,,,4.19,0.6147287
,,,,,,,,,,,,,,,,,,,,,,,4.2,0.614755368
,,,,,,,,,,,,,,,,,,,,,,,4.21,0.614782048
,,,,,,,,,,,,,,,,,,,,,,,4.22,0.614809389
,,,,,,,,,,,,,,,,,,,,,,,4.23,0.614837149
,,,,,,,,,,,,,,,,,,,,,,,4.24,0.614863867
,,,,,,,,,,,,,,,,,,,,,,,4.25,0.614890599
,,,,,,,,,,,,,,,,,,,,,,,4.26,0.614917343
,,,,,,,,,,,,,,,,,,,,,,,4.27,0.614944099
,,,,,,,,,,,,,,,,,,,,,,,4.28,0.614970869
,,,,,,,,,,,,,,,,,,,,,,,4.29,0.614997651
,,,,,,,,,,,,,,,,,,,,,,,4.3,0.615024446
,,,,,,,,,,,,,,,,,,,,,,,4.31,0.615051253
,,,,,,,,,,,,,,,,,,,,,,,4.32,0.615077751
,,,,,,,,,,,,,,,,,,,,,,,4.33,0.615099806
,,,,,,,,,,,,,,,,,,,,,,,4.34,0.615122519
,,,,,,,,,,,,,,,,,,,,,,,4.35,0.615143533
,,,,,,,,,,,,,,,,,,,,,,,4.36,0.615166262
,,,,,,,,,,,,,,,,,,,,,,,4.37,0.615188998
,,,,,,,,,,,,,,,,,,,,,,,4.38,0.615210034
,,,,,,,,,,,,,,,,,,,,,,,4.39,0.615232786
,,,,,,,,,,,,,,,,,,,,,,,4.4,0.615253837
,,,,,,,,,,,,,,,,,,,,,,,4.41,0.615276605
,,,,,,,,,,,,,,,,,,,,,,,4.42,0.615299381
,,,,,,,,,,,,,,,,,,,,,,,4.43,0.615320454
,,,,,,,,,,,,,,,,,,,,,,,4.44,0.615343245
,,,,,,,,,,,,,,,,,,,,,,,4.45,0.615365393
,,,,,,,,,,,,,,,,,,,,,,,4.46,0.615387141
,,,,,,,,,,,,,,,,,,,,,,,4.47,0.615409956
,,,,,,,,,,,,,,,,,,,,,,,4.48,0.615432126
,,,,,,,,,,,,,,,,,,,,,,,4.49,0.615453897
,,,,,,,,,,,,,,,,,,,,,,,4.5,0.615476736
,,,,,,,,,,,,,,,,,,,,,,,4.51,0.615498929
,,,,,,,,,,,,,,,,,,,,,,,4.52,0.615520723
,,,,,,,,,,,,,,,,,,,,,,,4.53,0.615542933
,,,,,,,,,,,,,,,,,,,,,,,4.54,0.615564742
,,,,,,,,,,,,,,,,,,,,,,,4.55,0.61558762
,,,,,,,,,,,,,,,,,,,,,,,4.56,0.615609852
,,,,,,,,,,,,,,,,,,,,,,,4.57,0.615631685
,,,,,,,,,,,,,,,,,,,,,,,4.58,0.615653933
,,,,,,,,,,,,,,,,,,,,,,,4.59,0.615676842
,,,,,,,,,,,,,,,,,,,,,,,4.6,0.615698698
,,,,,,,,,,,,,,,,,,,,,,,4.61,0.615720969
,,,,,,,,,,,,,,,,,,,,,,,4.62,0.615743902
,,,,,,,,,,,,,,,,,,,,,,,4.63,0.615765127
,,,,,,,,,,,,,,,,,,,,,,,4.64,0.615788076
,,,,,,,,,,,,,,,,,,,,,,,4.65,0.61580997
,,,,,,,,,,,,,,,,,,,,,,,4.66,0.61583228
,,,,,,,,,,,,,,,,,,,,,,,4.67,0.615855253
,,,,,,,,,,,,,,,,,,,,,,,4.68,0.615876516
,,,,,,,,,,,,,,,,,,,,,,,4.69,0.615899504
,,,,,,,,,,,,,,,,,,,,,,,4.7,0.615922501
,,,,,,,,,,,,,,,,,,,,,,,4.71,0.615943786
,,,,,,,,,,,,,,,,,,,,,,,4.72,0.615966799
,,,,,,,,,,,,,,,,,,,,,,,4.73,0.615989819
,,,,,,,,,,,,,,,,,,,,,,,4.74,0.616011128
,,,,,,,,,,,,,,,,,,,,,,,4.75,0.616034164
,,,,,,,,,,,,,,,,,,,,,,,4.76,0.616056552
,,,,,,,,,,,,,,,,,,,,,,,4.77,0.61607854
,,,,,,,,,,,,,,,,,,,,,,,4.78,0.6161016
,,,,,,,,,,,,,,,,,,,,,,,4.79,0.616122947
,,,,,,,,,,,,,,,,,,,,,,,4.8,0.616146023
,,,,,,,,,,,,,,,,,,,,,,,4.81,0.616168451
,,,,,,,,,,,,,,,,,,,,,,,4.82,0.616190477
,,,,,,,,,,,,,,,,,,,,,,,4.83,0.616213577
,,,,,,,,,,,,,,,,,,,,,,,4.84,0.616236029
,,,,,,,,,,,,,,,,,,,,,,,4.85,0.616258079
,,,,,,,,,,,,,,,,,,,,,,,4.86,0.616280545
,,,,,,,,,,,,,,,,,,,,,,,4.87,0.616303678
,,,,,,,,,,,,,,,,,,,,,,,4.88,0.616325751
,,,,,,,,,,,,,,,,,,,,,,,4.89,0.616348242
,,,,,,,,,,,,,,,,,,,,,,,4.9,0.616370331
,,,,,,,,,,,,,,,,,,,,,,,4.91,0.616392837
,,,,,,,,,,,,,,,,,,,,,,,4.92,0.616416009
,,,,,,,,,,,,,,,,,,,,,,,4.93,0.616438122
,,,,,,,,,,,,,,,,,,,,,,,4.94,0.616460652
,,,,,,,,,,,,,,,,,,,,,,,4.95,0.616483849
,,,,,,,,,,,,,,,,,,,,,,,4.96,0.616505326
,,,,,,,,,,,,,,,,,,,,,,,4.97,0.616528539
,,,,,,,,,,,,,,,,,,,,,,,4.98,0.61655176
,,,,,,,,,,,,,,,,,,,,,,,4.99,0.61657326
,,,,,,,,,,,,,,,,,,,,,,,5,0.616596497
,,,,,,,,,,,,,,,,,,,,,,,5.01,0.616618673
,,,,,,,,,,,,,,,,,,,,,,,5.02,0.616641266
,,,,,,,,,,,,,,,,,,,,,,,5.03,0.616664527
,,,,,,,,,,,,,,,,,,,,,,,5.04,0.616686067
,,,,,,,,,,,,,,,,,,,,,,,5.05,0.616709344
,,,,,,,,,,,,,,,,,,,,,,,5.06,0.616732629
,,,,,,,,,,,,,,,,,,,,,,,5.07,0.616754192
,,,,,,,,,,,,,,,,,,,,,,,5.08,0.616777494
,,,,,,,,,,,,,,,,,,,,,,,5.09,0.616800143
,,,,,,,,,,,,,,,,,,,,,,,5.1,0.61682239
,,,,,,,,,,,,,,,,,,,,,,,5.11,0.616845716
,,,,,,,,,,,,,,,,,,,,,,,5.12,0.616868389
,,,,,,,,,,,,,,,,,,,,,,,5.13,0.61689066
,,,,,,,,,,,,,,,,,,,,,,,5.14,0.616913349
,,,,,,,,,,,,,,,,,,,,,,,5.15,0.616935635
,,,,,,,,,,,,,,,,,,,,,,,5.16,0.616959002
,,,,,,,,,,,,,,,,,,,,,,,5.17,0.616981715
,,,,,,,,,,,,,,,,,,,,,,,5.18,0.617004025
,,,,,,,,,,,,,,,,,,,,,,,5.19,0.617026754
,,,,,,,,,,,,,,,,,,,,,,,5.2,0.617050153
,,,,,,,,,,,,,,,,,,,,,,,5.21,0.617072488
,,,,,,,,,,,,,,,,,,,,,,,5.22,0.617095241
,,,,,,,,,,,,,,,,,,,,,,,5.23,0.617118664
,,,,,,,,,,,,,,,,,,,,,,,5.24,0.61714036
,,,,,,,,,,,,,,,,,,,,,,,5.25,0.6171638
,,,,,,,,,,,,,,,,,,,,,,,5.26,0.617186174
,,,,,,,,,,,,,,,,,,,,,,,5.27,0.617208968
,,,,,,,,,,,,,,,,,,,,,,,5.28,0.617232432
,,,,,,,,,,,,,,,,,,,,,,,5.29,0.61725483
,,,,,,,,,,,,,,,,,,,,,,,5.3,0.617277648
,,,,,,,,,,,,,,,,,,,,,,,5.31,0.617301137
,,,,,,,,,,,,,,,,,,,,,,,5.32,0.617322896
,,,,,,,,,,,,,,,,,,,,,,,5.33,0.617346401
,,,,,,,,,,,,,,,,,,,,,,,5.34,0.617369915
,,,,,,,,,,,,,,,,,,,,,,,5.35,0.617391697
,,,,,,,,,,,,,,,,,,,,,,,5.36,0.617415227
,,,,,,,,,,,,,,,,,,,,,,,5.37,0.617438102
,,,,,,,,,,,,,,,,,,,,,,,5.38,0.617460572
,,,,,,,,,,,,,,,,,,,,,,,5.39,0.617484127
,,,,,,,,,,,,,,,,,,,,,,,5.4,0.617505949
,,,,,,,,,,,,,,,,,,,,,,,5.41,0.61752952
,,,,,,,,,,,,,,,,,,,,,,,5.42,0.617552435
,,,,,,,,,,,,,,,,,,,,,,,5.43,0.617574945
,,,,,,,,,,,,,,,,,,,,,,,5.44,0.617595404
,,,,,,,,,,,,,,,,,,,,,,,5.45,0.617608516
,,,,,,,,,,,,,,,,,,,,,,,5.46,0.617622299
,,,,,,,,,,,,,,,,,,,,,,,5.47,0.617636088
,,,,,,,,,,,,,,,,,,,,,,,5.48,0.617649215
,,,,,,,,,,,,,,,,,,,,,,,5.49,0.617663014
,,,,,,,,,,,,,,,,,,,,,,,5.5,0.617676819
,,,,,,,,,,,,,,,,,,,,,,,5.51,0.617690629
,,,,,,,,,,,,,,,,,,,,,,,5.52,0.617703777
,,,,,,,,,,,,,,,,,,,,,,,5.53,0.617717598
,,,,,,,,,,,,,,,,,,,,,,,5.54,0.617731424
,,,,,,,,,,,,,,,,,,,,,,,5.55,0.617745255
,,,,,,,,,,,,,,,,,,,,,,,5.56,0.617758424
,,,,,,,,,,,,,,,,,,,,,,,5.57,0.617772266
,,,,,,,,,,,,,,,,,,,,,,,5.58,0.617786114
,,,,,,,,,,,,,,,,,,,,,,,5.59,0.617798218
,,,,,,,,,,,,,,,,,,,,,,,5.6,0.617812076
,,,,,,,,,,,,,,,,,,,,,,,5.61,0.617825939
,,,,,,,,,,,,,,,,,,,,,,,5.62,0.617839808
,,,,,,,,,,,,,,,,,,,,,,,5.63,0.617853014
,,,,,,,,,,,,,,,,,,,,,,,5.64,0.617866893
,,,,,,,,,,,,,,,,,,,,,,,5.65,0.617880778
,,,,,,,,,,,,,,,,,,,,,,,5.66,0.617894668
,,,,,,,,,,,,,,,,,,,,,,,5.67,0.617907895
,,,,,,,,,,,,,,,,,,,,,,,5.68,0.617921796
,,,,,,,,,,,,,,,,,,,,,,,5.69,0.617935703
,,,,,,,,,,,,,,,,,,,,,,,5.7,0.617948946
,,,,,,,,,,,,,,,,,,,,,,,5.71,0.617962863
,,,,,,,,,,,,,,,,,,,,,,,5.72,0.617976786
,,,,,,,,,,,,,,,,,,,,,,,5.73,0.617990714
,,,,,,,,,,,,,,,,,,,,,,,5.74,0.618003978
,,,,,,,,,,,,,,,,,,,,,,,5.75,0.618017916
,,,,,,,,,,,,,,,,,,,,,,,5.76,0.618031861
,,,,,,,,,,,,,,,,,,,,,,,5.77,0.618045811
,,,,,,,,,,,,,,,,,,,,,,,5.78,0.618058011
,,,,,,,,,,,,,,,,,,,,,,,5.79,0.618071972
,,,,,,,,,,,,,,,,,,,,,,,5.8,0.618085938
,,,,,,,,,,,,,,,,,,,,,,,5.81,0.618099238
,,,,,,,,,,,,,,,,,,,,,,,5.82,0.618113215
,,,,,,,,,,,,,,,,,,,,,,,5.83,0.618127197
,,,,,,,,,,,,,,,,,,,,,,,5.84,0.618141185
,,,,,,,,,,,,,,,,,,,,,,,5.85,0.618154507
,,,,,,,,,,,,,,,,,,,,,,,5.86,0.618168505
,,,,,,,,,,,,,,,,,,,,,,,5.87,0.61818251
,,,,,,,,,,,,,,,,,,,,,,,5.88,0.618196519
,,,,,,,,,,,,,,,,,,,,,,,5.89,0.618209862
,,,,,,,,,,,,,,,,,,,,,,,5.9,0.618223883
,,,,,,,,,,,,,,,,,,,,,,,5.91,0.618237909
,,,,,,,,,,,,,,,,,,,,,,,5.92,0.618251268
,,,,,,,,,,,,,,,,,,,,,,,5.93,0.618265305
,,,,,,,,,,,,,,,,,,,,,,,5.94,0.618279348
,,,,,,,,,,,,,,,,,,,,,,,5.95,0.618293396
,,,,,,,,,,,,,,,,,,,,,,,5.96,0.618305688
,,,,,,,,,,,,,,,,,,,,,,,5.97,0.618319746
,,,,,,,,,,,,,,,,,,,,,,,5.98,0.618333811
,,,,,,,,,,,,,,,,,,,,,,,5.99,0.61834788
,,,,,,,,,,,,,,,,,,,,,,,6,0.618361282
,,,,,,,,,,,,,,,,,,,,,,,6.01,0.618375363
,,,,,,,,,,,,,,,,,,,,,,,6.02,0.618389449
,,,,,,,,,,,,,,,,,,,,,,,6.03,0.618402867
,,,,,,,,,,,,,,,,,,,,,,,6.04,0.618416964
,,,,,,,,,,,,,,,,,,,,,,,6.05,0.618431067
,,,,,,,,,,,,,,,,,,,,,,,6.06,0.618445176
,,,,,,,,,,,,,,,,,,,,,,,6.07,0.618458615
,,,,,,,,,,,,,,,,,,,,,,,6.08,0.618472734
,,,,,,,,,,,,,,,,,,,,,,,6.09,0.618486859
,,,,,,,,,,,,,,,,,,,,,,,6.1,0.61850099
,,,,,,,,,,,,,,,,,,,,,,,6.11,0.618514451
,,,,,,,,,,,,,,,,,,,,,,,6.12,0.618528593
,,,,,,,,,,,,,,,,,,,,,,,6.13,0.61854274
,,,,,,,,,,,,,,,,,,,,,,,6.14,0.618556217
,,,,,,,,,,,,,,,,,,,,,,,6.15,0.618569282
,,,,,,,,,,,,,,,,,,,,,,,6.16,0.618583446
,,,,,,,,,,,,,,,,,,,,,,,6.17,0.618597615
,,,,,,,,,,,,,,,,,,,,,,,6.18,0.618611114
,,,,,,,,,,,,,,,,,,,,,,,6.19,0.618625294
,,,,,,,,,,,,,,,,,,,,,,,6.2,0.61863948
,,,,,,,,,,,,,,,,,,,,,,,6.21,0.618653672
,,,,,,,,,,,,,,,,,,,,,,,6.22,0.618667192
,,,,,,,,,,,,,,,,,,,,,,,6.23,0.618681394
,,,,,,,,,,,,,,,,,,,,,,,6.24,0.618695603
,,,,,,,,,,,,,,,,,,,,,,,6.25,0.618709139
,,,,,,,,,,,,,,,,,,,,,,,6.26,0.618723359
,,,,,,,,,,,,,,,,,,,,,,,6.27,0.618737584
,,,,,,,,,,,,,,,,,,,,,,,6.28,0.618751814
,,,,,,,,,,,,,,,,,,,,,,,6.29,0.618765373
,,,,,,,,,,,,,,,,,,,,,,,6.3,0.618779614
,,,,,,,,,,,,,,,,,,,,,,,6.31,0.618793862
,,,,,,,,,,,,,,,,,,,,,,,6.32,0.618808115
,,,,,,,,,,,,,,,,,,,,,,,6.33,0.618820599
,,,,,,,,,,,,,,,,,,,,,,,6.34,0.618834863
,,,,,,,,,,,,,,,,,,,,,,,6.35,0.618849132
,,,,,,,,,,,,,,,,,,,,,,,6.36,0.618862729
,,,,,,,,,,,,,,,,,,,,,,,6.37,0.61887701
,,,,,,,,,,,,,,,,,,,,,,,6.38,0.618891296
,,,,,,,,,,,,,,,,,,,,,,,6.39,0.618905588
,,,,,,,,,,,,,,,,,,,,,,,6.4,0.618919207
,,,,,,,,,,,,,,,,,,,,,,,6.41,0.61893351
,,,,,,,,,,,,,,,,,,,,,,,6.42,0.618947819
,,,,,,,,,,,,,,,,,,,,,,,6.43,0.618962134
,,,,,,,,,,,,,,,,,,,,,,,6.44,0.618975775
,,,,,,,,,,,,,,,,,,,,,,,6.45,0.618990101
,,,,,,,,,,,,,,,,,,,,,,,6.46,0.619004432
,,,,,,,,,,,,,,,,,,,,,,,6.47,0.619018089
,,,,,,,,,,,,,,,,,,,,,,,6.48,0.619032432
,,,,,,,,,,,,,,,,,,,,,,,6.49,0.619046781
,,,,,,,,,,,,,,,,,,,,,,,6.5,0.619061135
,,,,,,,,,,,,,,,,,,,,,,,6.51,0.619073714
,,,,,,,,,,,,,,,,,,,,,,,6.52,0.61908808
,,,,,,,,,,,,,,,,,,,,,,,6.53,0.619102451
,,,,,,,,,,,,,,,,,,,,,,,6.54,0.619116828
,,,,,,,,,,,,,,,,,,,,,,,6.55,0.619130529
,,,,,,,,,,,,,,,,,,,,,,,6.56,0.619144917
,,,,,,,,,,,,,,,,,,,,,,,6.57,0.619159311
,,,,,,,,,,,,,,,,,,,,,,,6.58,0.619173028
,,,,,,,,,,,,,,,,,,,,,,,6.59,0.619187434
,,,,,,,,,,,,,,,,,,,,,,,6.6,0.619201845
,,,,,,,,,,,,,,,,,,,,,,,6.61,0.619216262
,,,,,,,,,,,,,,,,,,,,,,,6.62,0.619230002
,,,,,,,,,,,,,,,,,,,,,,,6.63,0.61924443
,,,,,,,,,,,,,,,,,,,,,,,6.64,0.619258864
,,,,,,,,,,,,,,,,,,,,,,,6.65,0.619273303
,,,,,,,,,,,,,,,,,,,,,,,6.66,0.619287066
,,,,,,,,,,,,,,,,,,,,,,,6.67,0.619301517
,,,,,,,,,,,,,,,,,,,,,,,6.68,0.619315974
,,,,,,,,,,,,,,,,,,,,,,,6.69,0.619329752
,,,,,,,,,,,,,,,,,,,,,,,6.7,0.619343116
,,,,,,,,,,,,,,,,,,,,,,,6.71,0.61935759
,,,,,,,,,,,,,,,,,,,,,,,6.72,0.61937207
,,,,,,,,,,,,,,,,,,,,,,,6.73,0.619385871
,,,,,,,,,,,,,,,,,,,,,,,6.74,0.619400362
,,,,,,,,,,,,,,,,,,,,,,,6.75,0.619414859
,,,,,,,,,,,,,,,,,,,,,,,6.76,0.619429361
,,,,,,,,,,,,,,,,,,,,,,,6.77,0.619443185
,,,,,,,,,,,,,,,,,,,,,,,6.78,0.619457699
,,,,,,,,,,,,,,,,,,,,,,,6.79,0.619472219
,,,,,,,,,,,,,,,,,,,,,,,6.8,0.619486059
,,,,,,,,,,,,,,,,,,,,,,,6.81,0.619500591
,,,,,,,,,,,,,,,,,,,,,,,6.82,0.619515128
,,,,,,,,,,,,,,,,,,,,,,,6.83,0.619529671
,,,,,,,,,,,,,,,,,,,,,,,6.84,0.619543534
,,,,,,,,,,,,,,,,,,,,,,,6.85,0.619555235
,,,,,,,,,,,,,,,,,,,,,,,6.86,0.619564772
,,,,,,,,,,,,,,,,,,,,,,,6.87,0.619575421
,,,,,,,,,,,,,,,,,,,,,,,6.88,0.619584965
,,,,,,,,,,,,,,,,,,,,,,,6.89,0.619594513
,,,,,,,,,,,,,,,,,,,,,,,6.9,0.619605173
,,,,,,,,,,,,,,,,,,,,,,,6.91,0.619614728
,,,,,,,,,,,,,,,,,,,,,,,6.92,0.619624287
,,,,,,,,,,,,,,,,,,,,,,,6.93,0.619634958
,,,,,,,,,,,,,,,,,,,,,,,6.94,0.619644524
,,,,,,,,,,,,,,,,,,,,,,,6.95,0.619654093
,,,,,,,,,,,,,,,,,,,,,,,6.96,0.619664775
,,,,,,,,,,,,,,,,,,,,,,,6.97,0.619674352
,,,,,,,,,,,,,,,,,,,,,,,6.98,0.619683932
,,,,,,,,,,,,,,,,,,,,,,,6.99,0.619694625
,,,,,,,,,,,,,,,,,,,,,,,7,0.619704212
,,,,,,,,,,,,,,,,,,,,,,,7.01,0.619713803
,,,,,,,,,,,,,,,,,,,,,,,7.02,0.619724508
,,,,,,,,,,,,,,,,,,,,,,,7.03,0.619734106
,,,,,,,,,,,,,,,,,,,,,,,7.04,0.619743707
,,,,,,,,,,,,,,,,,,,,,,,7.05,0.619754423
,,,,,,,,,,,,,,,,,,,,,,,7.06,0.619764032
,,,,,,,,,,,,,,,,,,,,,,,7.07,0.619773644
,,,,,,,,,,,,,,,,,,,,,,,7.08,0.619784372
,,,,,,,,,,,,,,,,,,,,,,,7.09,0.619793991
,,,,,,,,,,,,,,,,,,,,,,,7.1,0.619803613
,,,,,,,,,,,,,,,,,,,,,,,7.11,0.619814352
,,,,,,,,,,,,,,,,,,,,,,,7.12,0.619823982
,,,,,,,,,,,,,,,,,,,,,,,7.13,0.619833616
,,,,,,,,,,,,,,,,,,,,,,,7.14,0.619844366
,,,,,,,,,,,,,,,,,,,,,,,7.15,0.619854007
,,,,,,,,,,,,,,,,,,,,,,,7.16,0.619863651
,,,,,,,,,,,,,,,,,,,,,,,7.17,0.619874413
,,,,,,,,,,,,,,,,,,,,,,,7.18,0.619884064
,,,,,,,,,,,,,,,,,,,,,,,7.19,0.619893719
,,,,,,,,,,,,,,,,,,,,,,,7.2,0.619904493
,,,,,,,,,,,,,,,,,,,,,,,7.21,0.619914155
,,,,,,,,,,,,,,,,,,,,,,,7.22,0.61992382
,,,,,,,,,,,,,,,,,,,,,,,7.23,0.619934605
,,,,,,,,,,,,,,,,,,,,,,,7.24,0.619944278
,,,,,,,,,,,,,,,,,,,,,,,7.25,0.619953955
,,,,,,,,,,,,,,,,,,,,,,,7.26,0.619964751
,,,,,,,,,,,,,,,,,,,,,,,7.27,0.619974435
,,,,,,,,,,,,,,,,,,,,,,,7.28,0.619984122
,,,,,,,,,,,,,,,,,,,,,,,7.29,0.61999493
,,,,,,,,,,,,,,,,,,,,,,,7.3,0.620004624
,,,,,,,,,,,,,,,,,,,,,,,7.31,0.620014323
,,,,,,,,,,,,,,,,,,,,,,,7.32,0.620025142
,,,,,,,,,,,,,,,,,,,,,,,7.33,0.620034847
,,,,,,,,,,,,,,,,,,,,,,,7.34,0.620044556
,,,,,,,,,,,,,,,,,,,,,,,7.35,0.620055387
,,,,,,,,,,,,,,,,,,,,,,,7.36,0.620065103
,,,,,,,,,,,,,,,,,,,,,,,7.37,0.620074823
,,,,,,,,,,,,,,,,,,,,,,,7.38,0.620085666
,,,,,,,,,,,,,,,,,,,,,,,7.39,0.620095393
,,,,,,,,,,,,,,,,,,,,,,,7.4,0.620105124
,,,,,,,,,,,,,,,,,,,,,,,7.41,0.620115978
